regime_beta_log,estimator,margin,false_go,false_stop,spearman_mean,regret_mean,regret_p90
0.5,dm,0.0,0.15,0.0125,1.0,0.0,0.0
0.5,dm,0.005,0.0875,0.025,1.0,0.0,0.0
0.5,dm,0.01,0.0375,0.04583333333333333,1.0,0.0,0.0
0.5,dm,0.02,0.0125,0.11666666666666667,1.0,0.0,0.0
0.5,ips,0.0,0.0,0.0,1.0,0.0,0.0
0.5,ips,0.005,0.0,0.0,1.0,0.0,0.0
0.5,ips,0.01,0.0,0.0,1.0,0.0,0.0
0.5,ips,0.02,0.0,0.004166666666666667,1.0,0.0,0.0
0.5,snips,0.0,0.0,0.0,1.0,0.0,0.0
0.5,snips,0.005,0.0,0.0,1.0,0.0,0.0
0.5,snips,0.01,0.0,0.0,1.0,0.0,0.0
0.5,snips,0.02,0.0,0.004166666666666667,1.0,0.0,0.0
0.5,clipped_ips,0.0,0.0,0.0,1.0,0.0,0.0
0.5,clipped_ips,0.005,0.0,0.0,1.0,0.0,0.0
0.5,clipped_ips,0.01,0.0,0.0,1.0,0.0,0.0
0.5,clipped_ips,0.02,0.0,0.07916666666666666,1.0,0.0,0.0
0.5,dr,0.0,0.225,0.0,1.0,0.0,0.0
0.5,dr,0.005,0.0625,0.0,1.0,0.0,0.0
0.5,dr,0.01,0.0125,0.0,1.0,0.0,0.0
0.5,dr,0.02,0.0,0.058333333333333334,1.0,0.0,0.0
0.5,switch_dr,0.0,0.225,0.0,1.0,0.0,0.0
0.5,switch_dr,0.005,0.0625,0.0,1.0,0.0,0.0
0.5,switch_dr,0.01,0.0125,0.004166666666666667,1.0,0.0,0.0
0.5,switch_dr,0.02,0.0,0.09166666666666666,1.0,0.0,0.0
0.5,dros,0.0,0.1375,0.0,1.0,0.0,0.0
0.5,dros,0.005,0.05,0.0,1.0,0.0,0.0
0.5,dros,0.01,0.0125,0.016666666666666666,1.0,0.0,0.0
0.5,dros,0.02,0.0,0.1125,1.0,0.0,0.0
1.0,dm,0.0,0.008333333333333333,0.06,1.0,0.0,0.0
1.0,dm,0.005,0.008333333333333333,0.095,1.0,0.0,0.0
1.0,dm,0.01,0.0,0.125,1.0,0.0,0.0
1.0,dm,0.02,0.0,0.245,1.0,0.0,0.0
1.0,ips,0.0,0.0,0.0,1.0,0.0,0.0
1.0,ips,0.005,0.0,0.0,1.0,0.0,0.0
1.0,ips,0.01,0.0,0.0,1.0,0.0,0.0
1.0,ips,0.02,0.0,0.195,1.0,0.0,0.0
1.0,snips,0.0,0.0,0.0,1.0,0.0,0.0
1.0,snips,0.005,0.0,0.0,1.0,0.0,0.0
1.0,snips,0.01,0.0,0.0,1.0,0.0,0.0
1.0,snips,0.02,0.0,0.195,1.0,0.0,0.0
1.0,clipped_ips,0.0,0.0,0.0,1.0,0.0,0.0
1.0,clipped_ips,0.005,0.0,0.0,1.0,0.0,0.0
1.0,clipped_ips,0.01,0.0,0.0,1.0,0.0,0.0
1.0,clipped_ips,0.02,0.0,0.2,1.0,0.0,0.0
1.0,dr,0.0,0.0,0.0,1.0,0.0,0.0
1.0,dr,0.005,0.0,0.0,1.0,0.0,0.0
1.0,dr,0.01,0.0,0.01,1.0,0.0,0.0
1.0,dr,0.02,0.0,0.125,1.0,0.0,0.0
1.0,switch_dr,0.0,0.0,0.0,1.0,0.0,0.0
1.0,switch_dr,0.005,0.0,0.005,1.0,0.0,0.0
1.0,switch_dr,0.01,0.0,0.03,1.0,0.0,0.0
1.0,switch_dr,0.02,0.0,0.15,1.0,0.0,0.0
1.0,dros,0.0,0.0,0.005,1.0,0.0,0.0
1.0,dros,0.005,0.0,0.025,1.0,0.0,0.0
1.0,dros,0.01,0.0,0.065,1.0,0.0,0.0
1.0,dros,0.02,0.0,0.185,1.0,0.0,0.0
4.0,dm,0.0,0.0,0.375,1.0,0.0,0.0
4.0,dm,0.005,0.0,0.6,1.0,0.0,0.0
4.0,dm,0.01,0.0,0.775,1.0,0.0,0.0
4.0,dm,0.02,0.0,0.925,1.0,0.0,0.0
4.0,ips,0.0,0.0,0.0,1.0,0.0,0.0
4.0,ips,0.005,0.0,0.0,1.0,0.0,0.0
4.0,ips,0.01,0.0,0.0,1.0,0.0,0.0
4.0,ips,0.02,0.0,0.0,1.0,0.0,0.0
4.0,snips,0.0,0.0,0.0,1.0,0.0,0.0
4.0,snips,0.005,0.0,0.0,1.0,0.0,0.0
4.0,snips,0.01,0.0,0.0,1.0,0.0,0.0
4.0,snips,0.02,0.0,0.0,1.0,0.0,0.0
4.0,clipped_ips,0.0,0.0,0.0,1.0,0.0,0.0
4.0,clipped_ips,0.005,0.0,0.0,1.0,0.0,0.0
4.0,clipped_ips,0.01,0.0,0.0,1.0,0.0,0.0
4.0,clipped_ips,0.02,0.0,0.025,1.0,0.0,0.0
4.0,dr,0.0,0.0,0.0,1.0,0.0,0.0
4.0,dr,0.005,0.0,0.0,1.0,0.0,0.0
4.0,dr,0.01,0.0,0.0,1.0,0.0,0.0
4.0,dr,0.02,0.0,0.0,1.0,0.0,0.0
4.0,switch_dr,0.0,0.0,0.0,1.0,0.0,0.0
4.0,switch_dr,0.005,0.0,0.0,1.0,0.0,0.0
4.0,switch_dr,0.01,0.0,0.0,1.0,0.0,0.0
4.0,switch_dr,0.02,0.0,0.025,1.0,0.0,0.0
4.0,dros,0.0,0.0,0.0,1.0,0.0,0.0
4.0,dros,0.005,0.0,0.0,1.0,0.0,0.0
4.0,dros,0.01,0.0,0.05,1.0,0.0,0.0
4.0,dros,0.02,0.0,0.75,1.0,0.0,0.0
