regime_beta_log,estimator,threshold,false_go_abs,false_stop_abs
0.5,dm,0.5,0.0,0.0
0.5,dm,0.52,0.0,0.0
0.5,dm,0.54,0.003125,0.0
0.5,dm,0.56,0.0,0.0
0.5,dm,0.58,0.0,0.0
0.5,dm,0.6,0.0,0.04375
0.5,dm,0.62,0.0,0.11875
0.5,dm,0.64,0.0,0.003125
0.5,dm,0.66,0.0,0.125
0.5,dm,0.68,0.0,0.0
0.5,dm,0.7,0.0,0.125
0.5,dm,0.72,0.0,0.0
0.5,dm,0.74,0.0,0.0
0.5,dm,0.76,0.0,0.103125
0.5,dm,0.78,0.0,0.125
0.5,dm,0.8,0.0,0.0
0.5,dm,0.82,0.0,0.0
0.5,dm,0.84,0.0,0.0
0.5,ips,0.5,0.0,0.0
0.5,ips,0.52,0.0,0.0125
0.5,ips,0.54,0.05,0.015625
0.5,ips,0.56,0.053125,0.003125
0.5,ips,0.58,0.0625,0.003125
0.5,ips,0.6,0.00625,0.021875
0.5,ips,0.62,0.028125,0.028125
0.5,ips,0.64,0.025,0.003125
0.5,ips,0.66,0.0,0.059375
0.5,ips,0.68,0.015625,0.003125
0.5,ips,0.7,0.0,0.028125
0.5,ips,0.72,0.046875,0.0
0.5,ips,0.74,0.009375,0.0
0.5,ips,0.76,0.0,0.015625
0.5,ips,0.78,0.0,0.053125
0.5,ips,0.8,0.04375,0.0
0.5,ips,0.82,0.009375,0.0
0.5,ips,0.84,0.0,0.0
0.5,snips,0.5,0.0,0.0
0.5,snips,0.52,0.0,0.015625
0.5,snips,0.54,0.05,0.015625
0.5,snips,0.56,0.053125,0.003125
0.5,snips,0.58,0.0625,0.0
0.5,snips,0.6,0.00625,0.015625
0.5,snips,0.62,0.028125,0.028125
0.5,snips,0.64,0.021875,0.003125
0.5,snips,0.66,0.0,0.065625
0.5,snips,0.68,0.009375,0.003125
0.5,snips,0.7,0.0,0.01875
0.5,snips,0.72,0.0375,0.0
0.5,snips,0.74,0.00625,0.0
0.5,snips,0.76,0.0,0.003125
0.5,snips,0.78,0.0,0.046875
0.5,snips,0.8,0.028125,0.0
0.5,snips,0.82,0.003125,0.0
0.5,snips,0.84,0.0,0.0
0.5,clipped_ips,0.5,0.0,0.0
0.5,clipped_ips,0.52,0.0,0.0125
0.5,clipped_ips,0.54,0.05,0.015625
0.5,clipped_ips,0.56,0.053125,0.009375
0.5,clipped_ips,0.58,0.046875,0.003125
0.5,clipped_ips,0.6,0.00625,0.04375
0.5,clipped_ips,0.62,0.01875,0.06875
0.5,clipped_ips,0.64,0.00625,0.04375
0.5,clipped_ips,0.66,0.0,0.1125
0.5,clipped_ips,0.68,0.0,0.053125
0.5,clipped_ips,0.7,0.0,0.109375
0.5,clipped_ips,0.72,0.003125,0.059375
0.5,clipped_ips,0.74,0.0,0.090625
0.5,clipped_ips,0.76,0.0,0.11875
0.5,clipped_ips,0.78,0.0,0.125
0.5,clipped_ips,0.8,0.0,0.0
0.5,clipped_ips,0.82,0.0,0.0
0.5,clipped_ips,0.84,0.0,0.0
0.5,dr,0.5,0.0,0.0
0.5,dr,0.52,0.0,0.015625
0.5,dr,0.54,0.046875,0.01875
0.5,dr,0.56,0.046875,0.00625
0.5,dr,0.58,0.065625,0.0
0.5,dr,0.6,0.003125,0.028125
0.5,dr,0.62,0.025,0.028125
0.5,dr,0.64,0.01875,0.003125
0.5,dr,0.66,0.0,0.0625
0.5,dr,0.68,0.003125,0.0
0.5,dr,0.7,0.0,0.021875
0.5,dr,0.72,0.040625,0.0
0.5,dr,0.74,0.003125,0.0
0.5,dr,0.76,0.0,0.003125
0.5,dr,0.78,0.0,0.05625
0.5,dr,0.8,0.03125,0.0
0.5,dr,0.82,0.003125,0.0
0.5,dr,0.84,0.0,0.0
0.5,switch_dr,0.5,0.0,0.0
0.5,switch_dr,0.52,0.0,0.003125
0.5,switch_dr,0.54,0.0625,0.01875
0.5,switch_dr,0.56,0.046875,0.009375
0.5,switch_dr,0.58,0.05625,0.0
0.5,switch_dr,0.6,0.003125,0.034375
0.5,switch_dr,0.62,0.01875,0.040625
0.5,switch_dr,0.64,0.003125,0.003125
0.5,switch_dr,0.66,0.0,0.08125
0.5,switch_dr,0.68,0.003125,0.0
0.5,switch_dr,0.7,0.0,0.028125
0.5,switch_dr,0.72,0.01875,0.0
0.5,switch_dr,0.74,0.0,0.0
0.5,switch_dr,0.76,0.0,0.003125
0.5,switch_dr,0.78,0.0,0.078125
0.5,switch_dr,0.8,0.003125,0.0
0.5,switch_dr,0.82,0.0,0.0
0.5,switch_dr,0.84,0.0,0.0
0.5,dros,0.5,0.0,0.0
0.5,dros,0.52,0.0,0.0
0.5,dros,0.54,0.04375,0.0
0.5,dros,0.56,0.025,0.0
0.5,dros,0.58,0.025,0.0
0.5,dros,0.6,0.0,0.0375
0.5,dros,0.62,0.003125,0.05
0.5,dros,0.64,0.0,0.0125
0.5,dros,0.66,0.0,0.10625
0.5,dros,0.68,0.0,0.0
0.5,dros,0.7,0.0,0.03125
0.5,dros,0.72,0.003125,0.0
0.5,dros,0.74,0.0,0.0
0.5,dros,0.76,0.0,0.00625
0.5,dros,0.78,0.0,0.103125
0.5,dros,0.8,0.0,0.0
0.5,dros,0.82,0.0,0.0
0.5,dros,0.84,0.0,0.0
1.0,dm,0.5,0.0,0.0
1.0,dm,0.52,0.0,0.0
1.0,dm,0.54,0.003125,0.0
1.0,dm,0.56,0.0,0.0
1.0,dm,0.58,0.0,0.0
1.0,dm,0.6,0.0,0.04375
1.0,dm,0.62,0.0,0.11875
1.0,dm,0.64,0.0,0.003125
1.0,dm,0.66,0.0,0.125
1.0,dm,0.68,0.0,0.0
1.0,dm,0.7,0.0,0.125
1.0,dm,0.72,0.0,0.0
1.0,dm,0.74,0.0,0.0
1.0,dm,0.76,0.0,0.103125
1.0,dm,0.78,0.0,0.125
1.0,dm,0.8,0.0,0.0
1.0,dm,0.82,0.0,0.0
1.0,dm,0.84,0.0,0.0
1.0,ips,0.5,0.0,0.0
1.0,ips,0.52,0.0,0.0125
1.0,ips,0.54,0.05625,0.0125
1.0,ips,0.56,0.05,0.009375
1.0,ips,0.58,0.059375,0.0
1.0,ips,0.6,0.00625,0.028125
1.0,ips,0.62,0.034375,0.0375
1.0,ips,0.64,0.025,0.003125
1.0,ips,0.66,0.003125,0.06875
