axis_id,knob_name,knob_value,seed,estimator,variant,hyperparam_value,estimate,v_true,ess_ratio_raw,max_weight_raw,support_proxy,ess_ratio_used
15,n,2000,1000,ips,m:ctr,nan,0.061063462137823724,0.05858849990923346,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,snips,m:ctr,nan,0.0614313507730675,0.05858849990923346,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,dr,m:ctr,nan,0.061455326494928034,0.05858849990923346,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,dr,m:ctr|q:shrink0.9,nan,0.061416140059217604,0.05858849990923346,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,ips,m:cvr,nan,0.01098859616087697,0.010670167588636205,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,snips,m:cvr,nan,0.011054799083268525,0.010670167588636205,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,dr,m:cvr,nan,0.011212861229879334,0.010670167588636205,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,dr,m:cvr|q:shrink0.9,nan,0.011170250866768884,0.010670167588636205,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,ips,m:rev,nan,0.012228277930573263,0.009421584645053025,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,snips,m:rev,nan,0.012301949555498598,0.009421584645053025,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,dr,m:rev,nan,0.012359082917846329,0.009421584645053025,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1000,dr,m:rev|q:shrink0.9,nan,0.012334229970264447,0.009421584645053025,0.6968497662251603,2.8987199260722285,0.0,0.6968497662251603
15,n,2000,1001,ips,m:ctr,nan,0.05569331325563986,0.05858849990923346,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,snips,m:ctr,nan,0.056218396760762464,0.05858849990923346,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,dr,m:ctr,nan,0.056331435582777645,0.05858849990923346,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,dr,m:ctr|q:shrink0.9,nan,0.05626762335006386,0.05858849990923346,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,ips,m:cvr,nan,0.011219179434885176,0.010670167588636205,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,snips,m:cvr,nan,0.01132495525819144,0.010670167588636205,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,dr,m:cvr,nan,0.0114365461675968,0.010670167588636205,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,dr,m:cvr|q:shrink0.9,nan,0.011395246488381593,0.010670167588636205,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,ips,m:rev,nan,0.01288633416712098,0.009421584645053025,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,snips,m:rev,nan,0.013007828133220545,0.009421584645053025,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,dr,m:rev,nan,0.013145635220607287,0.009421584645053025,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1001,dr,m:rev|q:shrink0.9,nan,0.013096368020444886,0.009421584645053025,0.6909946801928455,2.9134629220527066,0.0,0.6909946801928455
15,n,2000,1002,ips,m:ctr,nan,0.05396447837030029,0.05858849990923346,0.7006187954093798,2.815967458817845,0.0,0.7006187954093798
15,n,2000,1002,snips,m:ctr,nan,0.05284780821778803,0.05858849990923346,0.7006187954093798,2.815967458817845,0.0,0.7006187954093798
15,n,2000,1002,dr,m:ctr,nan,0.0524920455277961,0.05858849990923346,0.7006187954093798,2.815967458817845,0.0,0.7006187954093798
15,n,2000,1002,dr,m:ctr|q:shrink0.9,nan,0.05263928881204651,0.05858849990923346,0.7006187954093798,2.815967458817845,0.0,0.7006187954093798
15,n,2000,1002,ips,m:cvr,nan,0.007430581145450219,0.010670167588636205,0.7006187954093798,2.815967458817845,0.0,0.7006187954093798
15,n,2000,1002,snips,m:cvr,nan,0.007276822442845744,0.010670167588636205,0.7006187954093798,2.815967458817845,0.0,0.7006187954093798
