knob,seed,metric,n_events,onpolicy_mean,v_true_pi0
2000,1000,ctr,95,0.0475,0.04967408156579895
2000,1000,cvr,18,0.009,0.00900742069857814
2000,1000,rev,18,0.010579178632703724,0.00814766840343161
2000,1001,ctr,91,0.0455,0.04967408156579895
2000,1001,cvr,20,0.01,0.00900742069857814
2000,1001,rev,20,0.010407821291850139,0.00814766840343161
2000,1002,ctr,85,0.0425,0.04967408156579895
2000,1002,cvr,12,0.006,0.00900742069857814
2000,1002,rev,12,0.004831997846791261,0.00814766840343161
2000,1003,ctr,97,0.0485,0.04967408156579895
2000,1003,cvr,19,0.0095,0.00900742069857814
2000,1003,rev,19,0.008012745602628659,0.00814766840343161
2000,1004,ctr,99,0.0495,0.04967408156579895
2000,1004,cvr,18,0.009,0.00900742069857814
2000,1004,rev,18,0.00869804269640681,0.00814766840343161
2000,1005,ctr,101,0.0505,0.04967408156579895
2000,1005,cvr,17,0.0085,0.00900742069857814
2000,1005,rev,17,0.008246763181222274,0.00814766840343161
2000,1006,ctr,90,0.045,0.04967408156579895
2000,1006,cvr,12,0.006,0.00900742069857814
2000,1006,rev,12,0.004117908595096455,0.00814766840343161
2000,1007,ctr,106,0.053,0.04967408156579895
2000,1007,cvr,16,0.008,0.00900742069857814
2000,1007,rev,16,0.005848599437675915,0.00814766840343161
2000,1008,ctr,103,0.0515,0.04967408156579895
2000,1008,cvr,13,0.0065,0.00900742069857814
2000,1008,rev,13,0.004817618036396551,0.00814766840343161
2000,1009,ctr,81,0.0405,0.04967408156579895
2000,1009,cvr,17,0.0085,0.00900742069857814
2000,1009,rev,17,0.007760133844756929,0.00814766840343161
2000,1010,ctr,95,0.0475,0.04967408156579895
2000,1010,cvr,13,0.0065,0.00900742069857814
2000,1010,rev,13,0.007064018700935051,0.00814766840343161
2000,1011,ctr,106,0.053,0.04967408156579895
2000,1011,cvr,30,0.015,0.00900742069857814
2000,1011,rev,30,0.0090084596773734,0.00814766840343161
2000,1012,ctr,109,0.0545,0.04967408156579895
2000,1012,cvr,25,0.0125,0.00900742069857814
2000,1012,rev,25,0.010258913187683233,0.00814766840343161
2000,1013,ctr,94,0.047,0.04967408156579895
2000,1013,cvr,19,0.0095,0.00900742069857814
2000,1013,rev,19,0.007860023775030513,0.00814766840343161
2000,1014,ctr,102,0.051,0.04967408156579895
2000,1014,cvr,18,0.009,0.00900742069857814
2000,1014,rev,18,0.008580483576934111,0.00814766840343161
2000,1015,ctr,87,0.0435,0.04967408156579895
2000,1015,cvr,17,0.0085,0.00900742069857814
2000,1015,rev,17,0.008885532185342243,0.00814766840343161
2000,1016,ctr,102,0.051,0.04967408156579895
2000,1016,cvr,16,0.008,0.00900742069857814
2000,1016,rev,16,0.004349181243705197,0.00814766840343161
2000,1017,ctr,87,0.0435,0.04967408156579895
2000,1017,cvr,14,0.007,0.00900742069857814
2000,1017,rev,14,0.005759119519590373,0.00814766840343161
2000,1018,ctr,118,0.059,0.04967408156579895
2000,1018,cvr,22,0.011,0.00900742069857814
2000,1018,rev,22,0.008326784257736872,0.00814766840343161
2000,1019,ctr,88,0.044,0.04967408156579895
2000,1019,cvr,16,0.008,0.00900742069857814
2000,1019,rev,16,0.008628932693362547,0.00814766840343161
2000,1020,ctr,105,0.0525,0.04967408156579895
2000,1020,cvr,19,0.0095,0.00900742069857814
2000,1020,rev,19,0.008439088132614795,0.00814766840343161
2000,1021,ctr,100,0.05,0.04967408156579895
2000,1021,cvr,17,0.0085,0.00900742069857814
2000,1021,rev,17,0.010838215329597431,0.00814766840343161
2000,1022,ctr,96,0.048,0.04967408156579895
2000,1022,cvr,11,0.0055,0.00900742069857814
2000,1022,rev,11,0.0064212129441237565,0.00814766840343161
2000,1023,ctr,106,0.053,0.04967408156579895
