scenario,level,id,advertiser,price,share,hhi,ne_rate,events_min,events_mean,events_max,subgroup_est_mean
incumbent_b2,action,0,3,1.0934157213356241,0.10394724023293285,,,,,,
incumbent_b2,action,1,2,0.5537575336907061,0.0817035452539822,,,,,,
incumbent_b2,action,2,3,0.8881542697545729,0.09354763901432409,,,,,,
incumbent_b2,action,3,1,0.1356406332799036,0.10818767553504244,,,,,,
incumbent_b2,action,4,0,0.322578916445936,0.09463895555326785,,,,,,
incumbent_b2,action,5,1,1.437405567257257,0.10978327138963276,,,,,,
incumbent_b2,action,6,0,0.11900770479118408,0.09159988752299841,,,,,,
incumbent_b2,action,7,3,2.33172543014469,0.10323455901562947,,,,,,
incumbent_b2,action,8,0,0.17445359998306087,0.1213901153535528,,,,,,
incumbent_b2,action,9,1,2.131313598758727,0.09196711112863319,,,,,,
incumbent_b2,advertiser,0,0,,0.3076289584298191,0.287810840239452,,,,,
incumbent_b2,advertiser,1,1,,0.3099380580533084,0.287810840239452,,,,,
incumbent_b2,advertiser,2,2,,0.0817035452539822,0.287810840239452,,,,,
incumbent_b2,advertiser,3,3,,0.30072943826288645,0.287810840239452,,,,,
s1_relevance,action,0,3,1.0934157213356241,0.08673470782742303,,,,,,
s1_relevance,action,1,2,0.5537575336907061,0.06594286628360921,,,,,,
s1_relevance,action,2,3,0.8881542697545729,0.07090396179404654,,,,,,
s1_relevance,action,3,1,0.1356406332799036,0.13326557279472684,,,,,,
s1_relevance,action,4,0,0.322578916445936,0.09033700956905787,,,,,,
s1_relevance,action,5,1,1.437405567257257,0.13529019717838314,,,,,,
s1_relevance,action,6,0,0.11900770479118408,0.07299857340781069,,,,,,
s1_relevance,action,7,3,2.33172543014469,0.09423227658866312,,,,,,
s1_relevance,action,8,0,0.17445359998306087,0.1580517653747308,,,,,,
s1_relevance,action,9,1,2.131313598758727,0.09224306918154891,,,,,,
s1_relevance,advertiser,0,0,,0.3213873483515994,0.3012530651743072,0.0,163.5245144592368,188.84610621770634,243.60821427828063,0.0007338231793158655
s1_relevance,advertiser,1,1,,0.3607988391546589,0.3012530651743072,0.0,182.0669155999425,224.7869291148746,263.7552778158076,0.004346556580803184
s1_relevance,advertiser,2,2,,0.06594286628360921,0.3012530651743072,0.0,22.074758486195613,35.49602210590088,48.007885850037,0.000503584922119501
s1_relevance,advertiser,3,3,,0.2518709462101327,0.3012530651743072,0.0,93.84931811444591,133.77640333552705,174.13742919476584,0.0035884058797017553
s2_price_tilt,action,0,3,1.0934157213356241,0.03662155749750153,,,,,,
s2_price_tilt,action,1,2,0.5537575336907061,0.07443723740617403,,,,,,
s2_price_tilt,action,2,3,0.8881542697545729,0.04442158951305231,,,,,,
s2_price_tilt,action,3,1,0.1356406332799036,0.2548609068056778,,,,,,
s2_price_tilt,action,4,0,0.322578916445936,0.0929788744103799,,,,,,
s2_price_tilt,action,5,1,1.437405567257257,0.04162503482973751,,,,,,
s2_price_tilt,action,6,0,0.11900770479118408,0.19175527878748636,,,,,,
s2_price_tilt,action,7,3,2.33172543014469,0.0187925598656015,,,,,,
s2_price_tilt,action,8,0,0.17445359998306087,0.22207847859302263,,,,,,
s2_price_tilt,action,9,1,2.131313598758727,0.022428482291362153,,,,,,
s2_price_tilt,advertiser,0,0,,0.5068126317908889,0.3740735242114801,0.0,240.2974399768011,292.9824161332713,380.62751657916687,0.0010146964692382362
s2_price_tilt,advertiser,1,1,,0.31891442392677744,0.3740735242114801,0.0,153.91163905921786,197.56584153764902,246.0077206008769,0.0015218233389426416
s2_price_tilt,advertiser,2,2,,0.07443723740617403,0.3740735242114801,0.0,22.663633555790533,40.38173556317875,53.15158910007584,0.0005817899389554133
s2_price_tilt,advertiser,3,3,,0.09983570687615534,0.3740735242114801,0.0,36.610860867429736,51.89578044223983,66.43128525829849,0.0010927510837786315
