scenario,estimator,gate_form,seed,stat_ctr,stat_cvr,stat_rev,pass_ctr,pass_rev,pass_hhi,deploy_ope,deploy_full,true_pass_ctr,true_pass_rev,true_pass_hhi,true_deploy_ope,true_deploy_full,err_ctr,err_rev,err_hhi,err_ope,err_full,false_go_full,false_stop_full,ess_ratio_raw,max_weight_raw
s1_relevance,ips,comparative,1000,0.007910448025860543,0.0017325909335793293,0.0008453630969398572,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6899596439401696,2.9207043152159793
s1_relevance,ips,absolute,1000,0.055410448025860544,0.01063259093357933,0.0073127507325829125,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6899596439401696,2.9207043152159793
s1_relevance,snips,comparative,1000,0.008075722143107214,0.001764305026195439,0.0008671750198719456,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6899596439401696,2.9207043152159793
s1_relevance,snips,absolute,1000,0.055575722143107215,0.010664305026195439,0.007334562655515001,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6899596439401696,2.9207043152159793
s1_relevance,ips,comparative,1001,0.008592239843064599,0.002424704478735707,0.0013717837481241647,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6948973267027351,2.92420872265976
s1_relevance,ips,absolute,1001,0.0592922398430646,0.010924704478735708,0.008538357015639658,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6948973267027351,2.92420872265976
s1_relevance,snips,comparative,1001,0.008833984194310127,0.002469246321036676,0.0014065960537970792,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6948973267027351,2.92420872265976
s1_relevance,snips,absolute,1001,0.05953398419431013,0.010969246321036677,0.008573169321312572,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6948973267027351,2.92420872265976
s1_relevance,ips,comparative,1002,0.00949190577876053,0.002150881048503075,0.0026240394929664176,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6980368188653567,2.889496023844355
s1_relevance,ips,absolute,1002,0.05829190577876053,0.012550881048503075,0.013314041479796493,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6980368188653567,2.889496023844355
s1_relevance,snips,comparative,1002,0.009248526308533317,0.002098478802605285,0.002568450911350396,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6980368188653567,2.889496023844355
s1_relevance,snips,absolute,1002,0.05804852630853332,0.012498478802605285,0.013258452898180471,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6980368188653567,2.889496023844355
s1_relevance,ips,comparative,1003,0.011691089305343981,0.002741996761123579,0.0019708802720631215,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7021550252443097,2.90632110539639
s1_relevance,ips,absolute,1003,0.06759108930534398,0.013741996761123578,0.012641389450483282,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7021550252443097,2.90632110539639
s1_relevance,snips,comparative,1003,0.01088817654094603,0.0025787559446014945,0.0018207135407109134,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7021550252443097,2.90632110539639
s1_relevance,snips,absolute,1003,0.06678817654094603,0.013578755944601494,0.012491222719131074,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7021550252443097,2.90632110539639
s1_relevance,ips,comparative,1004,0.00897821866564285,0.0010706415254587154,0.0005891270275997524,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6991729516291733,2.9150474807261744
s1_relevance,ips,absolute,1004,0.05817821866564285,0.010770641525458716,0.009937033470162091,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6991729516291733,2.9150474807261744
s1_relevance,snips,comparative,1004,0.008602201556738992,0.00100102878068359,0.0005249020533356664,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6991729516291733,2.9150474807261744
s1_relevance,snips,absolute,1004,0.05780220155673899,0.01070102878068359,0.009872808495898005,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6991729516291733,2.9150474807261744
s1_relevance,ips,comparative,1005,0.008213555819988186,0.0011866516594662268,0.0010930965284248143,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.697380380787545,2.9117568914264633
s1_relevance,ips,absolute,1005,0.058113555819988186,0.010186651659466226,0.009476869837089131,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.697380380787545,2.9117568914264633
s1_relevance,snips,comparative,1005,0.008069797179612453,0.001161452389315176,0.0010696530838863703,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.697380380787545,2.9117568914264633
s1_relevance,snips,absolute,1005,0.05796979717961245,0.010161452389315175,0.009453426392550687,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.697380380787545,2.9117568914264633
s1_relevance,ips,comparative,1006,0.008698728023925628,0.0010377461373449904,0.0006757883035169599,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6943322351622264,2.9193526901695157
s1_relevance,ips,absolute,1006,0.058998728023925626,0.01083774613734499,0.009522568312907993,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6943322351622264,2.9193526901695157
s1_relevance,snips,comparative,1006,0.009025454488633969,0.001097764015686795,0.0007285229163472278,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6943322351622264,2.9193526901695157
s1_relevance,snips,absolute,1006,0.059325454488633966,0.010897764015686795,0.009575302925738261,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6943322351622264,2.9193526901695157
s1_relevance,ips,comparative,1007,0.008903693800583166,0.0013655535209779641,0.0009010635560016437,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6955396197117121,2.9551293282482334
s1_relevance,ips,absolute,1007,0.059703693800583164,0.009565553520977965,0.0075224030743268515,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6955396197117121,2.9551293282482334
s1_relevance,snips,comparative,1007,0.009805358384292306,0.0015100156184530093,0.001014669331536407,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6955396197117121,2.9551293282482334
s1_relevance,snips,absolute,1007,0.060605358384292304,0.00971001561845301,0.007636008849861615,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6955396197117121,2.9551293282482334
s1_relevance,ips,comparative,1008,0.009337686431894969,0.0019964395062022355,0.0010866659500655875,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6940772380256717,2.917647004765371
s1_relevance,ips,absolute,1008,0.05883768643189497,0.010796439506202236,0.00898548129592965,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6940772380256717,2.917647004765371
s1_relevance,snips,comparative,1008,0.010155527103477738,0.002146509433691237,0.001211563655995335,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6940772380256717,2.917647004765371
s1_relevance,snips,absolute,1008,0.05965552710347774,0.010946509433691238,0.009110379001859398,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6940772380256717,2.917647004765371
s1_relevance,ips,comparative,1009,0.006782919559952444,0.001560913614185538,0.0010791861954093773,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6927909638177469,2.890905959393467
s1_relevance,ips,absolute,1009,0.05218291955995245,0.010160913614185538,0.008100934487408078,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6927909638177469,2.890905959393467
s1_relevance,snips,comparative,1009,0.00736739402536013,0.0016747208638140613,0.001169920661663047,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6927909638177469,2.890905959393467
s1_relevance,snips,absolute,1009,0.05276739402536013,0.010274720863814061,0.008191668953661748,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6927909638177469,2.890905959393467
s1_relevance,ips,comparative,1010,0.007794796468018318,0.0015711770870830127,0.0007174586646888055,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6948692610655992,2.9125785340756085
s1_relevance,ips,absolute,1010,0.05729479646801832,0.009071177087083012,0.006107005489037172,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6948692610655992,2.9125785340756085
s1_relevance,snips,comparative,1010,0.007953478180903126,0.0015963003095533675,0.0007343724186653685,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6948692610655992,2.9125785340756085
s1_relevance,snips,absolute,1010,0.05745347818090313,0.009096300309553367,0.006123919243013735,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6948692610655992,2.9125785340756085
s1_relevance,ips,comparative,1011,0.008152190364491503,0.0017760976622292878,0.0011254850943972555,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6968184617443245,2.909405259254884
s1_relevance,ips,absolute,1011,0.0575521903644915,0.009276097662229288,0.0074759398485240835,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6968184617443245,2.909405259254884
s1_relevance,snips,comparative,1011,0.009056726425795088,0.0019218882010518905,0.0012429829192810611,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6968184617443245,2.909405259254884
s1_relevance,snips,absolute,1011,0.05845672642579509,0.00942188820105189,0.007593437673407889,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,0.6968184617443245,2.909405259254884
s1_relevance,ips,comparative,1012,0.01111505329073393,0.00200235950951338,0.0015564196938915057,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7006783671357368,2.979950977655444
s1_relevance,ips,absolute,1012,0.05941505329073393,0.01080235950951338,0.009173061167192487,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7006783671357368,2.979950977655444
s1_relevance,snips,comparative,1012,0.010516004509957898,0.0018934453550142945,0.0014639328441145372,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7006783671357368,2.979950977655444
s1_relevance,snips,absolute,1012,0.0588160045099579,0.010693445355014295,0.009080574317415518,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.7006783671357368,2.979950977655444
s1_relevance,ips,comparative,1013,0.010676372962086497,0.0023232434795888678,0.001999229729480679,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,0.6976046751539686,2.8753493447265046
