family,scenario,mean_w_fire,harmonic_fire,placebo_fire,disagreement_fire,disagreement_inconclusive,gate_v1_nontrust,verdict_nontrust,large_err_rate,median_rel_err,runs
control,clean,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0046955173843642,40.0
control,small_n_500,0.0,0.275,0.025,0.0,0.0,0.0,0.275,0.0,0.02235631570973275,40.0
control,small_n_2000,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.01288718551033465,40.0
detectable,low_overlap_b8,0.0,0.575,0.075,0.0,0.0,0.025,0.65,0.0,0.011362907785302401,40.0
detectable,low_overlap_b16,0.325,1.0,0.15,0.05,0.0,1.0,1.0,0.325,0.0798721383317695,40.0
detectable,support_d02,0.0,1.0,0.075,0.0,0.0,0.0,1.0,0.0,0.04020543954313915,40.0
detectable,support_d04,1.0,1.0,0.075,0.0,0.0,0.0,1.0,0.175,0.08955460770375409,40.0
detectable,noised_s05,1.0,0.075,0.125,0.0,0.0,0.0,1.0,0.0,0.0072979056384598,40.0
detectable,noised_s10,1.0,1.0,0.075,1.0,0.0,0.0,1.0,0.0,0.01025610626234015,40.0
partial,estimated_insample,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.00572730142095035,40.0
partial,conf_recorded_g10,0.0,0.0,0.075,0.0,0.0,0.0,0.075,0.0,0.02550318924203055,40.0
partial,conf_recorded_g25,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.125,0.0794727182739111,40.0
impossible,conf_calibrated_g10,0.0,0.0,0.075,0.0,0.0,0.0,0.075,0.0,0.02833340011345925,40.0
impossible,conf_calibrated_g25,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.55,0.10408747931811235,40.0
