dataset,protocol_verdict,runs,share_large_err,median_rel_err,ci_covers_rate
letter,ab_fallback,72,0.2777777777777778,0.047992459783509495,0.4444444444444444
letter,distrust,30,0.6666666666666666,0.21494579400410685,0.3333333333333333
letter,trust,38,0.0,0.0102976466906701,0.9473684210526315
optdigits,ab_fallback,73,0.0,0.0090961467143828,0.6301369863013698
optdigits,distrust,33,0.0,0.0030537380966266,0.8787878787878788
optdigits,trust,34,0.0,0.0038069584153826,1.0
pendigits,ab_fallback,67,0.0,0.011191780807232,0.5074626865671642
pendigits,distrust,36,0.0,0.0069183277708401,0.6666666666666666
pendigits,trust,37,0.0,0.0039519157892551,1.0
satimage,ab_fallback,76,0.0,0.01168363333260175,0.8552631578947368
satimage,distrust,26,0.0,0.00554231086109315,1.0
satimage,trust,38,0.0,0.0043415143485321,1.0
