scenario_id,family,dataset,mean_w_fire,harmonic_fire,placebo_fire,disagreement_fire,disagreement_inconclusive,gate_v1_nontrust,verdict_nontrust,mean_w_median,dr_correction_median,large_err_rate,median_rel_err,runs
clean,control,optdigits,0.0,0.0,0.15,0.0,0.0,0.0,0.15,1.0091767691219156,0.00396331052550505,0.0,0.00315126883492695,20.0
clean,control,satimage,0.0,0.0,0.05,0.0,0.0,0.0,0.05,1.002156070449494,0.0092186730343096,0.0,0.00398198164546785,20.0
clean,control,pendigits,0.0,0.0,0.1,0.0,0.0,0.0,0.1,1.0007403805648956,0.021051701980540002,0.0,0.00371872922856415,20.0
clean,control,letter,0.0,0.0,0.05,0.0,0.0,0.0,0.05,1.0004508804256658,0.037746883801949696,0.0,0.00952085545003145,20.0
clean_qdeg,control,optdigits,0.0,0.0,0.15,0.0,0.0,0.0,0.15,1.0091767691219156,0.1641162449174908,0.0,0.00315126883492695,20.0
clean_qdeg,control,satimage,0.0,0.0,0.05,0.0,0.0,0.0,0.05,1.002156070449494,0.0253466827570007,0.0,0.00398198164546785,20.0
clean_qdeg,control,pendigits,0.0,0.0,0.1,0.0,0.0,0.0,0.1,1.0007403805648956,0.27503863845540855,0.0,0.00371872922856415,20.0
clean_qdeg,control,letter,0.0,0.0,0.05,0.0,0.0,0.0,0.05,1.0004508804256658,0.38688737425760805,0.0,0.00952085545003145,20.0
noised_s05,detectable,optdigits,1.0,0.65,0.05,0.0,0.0,0.0,1.0,1.1465258122119302,0.00415877055931715,0.0,0.0023118475160606,20.0
noised_s05,detectable,satimage,1.0,0.3,0.1,0.0,0.0,0.0,1.0,1.1542226173287358,0.011323976779493001,0.0,0.0070613085226764495,20.0
noised_s05,detectable,pendigits,0.95,0.35,0.1,0.0,0.0,0.0,0.95,1.13391031851193,0.0226476573181726,0.0,0.0051257308606511495,20.0
noised_s05,detectable,letter,1.0,0.6,0.05,0.0,0.0,0.0,1.0,1.1383051704966474,0.04290769780891805,0.0,0.00934123197195345,20.0
noised_s10,detectable,optdigits,1.0,1.0,0.05,1.0,0.0,0.15,1.0,1.7000641198091309,0.00796215099595675,0.0,0.0065531700614888,20.0
noised_s10,detectable,satimage,1.0,1.0,0.1,1.0,0.0,0.1,1.0,1.70664835829933,0.018135417406309848,0.0,0.0106694140452767,20.0
noised_s10,detectable,pendigits,1.0,1.0,0.05,1.0,0.0,0.05,1.0,1.6762257201408082,0.03193488068595205,0.0,0.00461775398004225,20.0
noised_s10,detectable,letter,1.0,1.0,0.05,1.0,0.0,0.8,1.0,1.6685067929824848,0.06347172230275205,0.0,0.01234357351119625,20.0
support_d02,detectable,optdigits,0.0,1.0,0.1,0.0,0.0,0.0,1.0,1.0040715804715705,0.0031160904266720997,0.0,0.0091721538580398,20.0
support_d02,detectable,satimage,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.9917832782507207,0.00872558728802395,0.0,0.0094924129333827,20.0
support_d02,detectable,pendigits,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.9915554872497017,0.020683165416504452,0.0,0.0114520217091913,20.0
support_d02,detectable,letter,0.0,1.0,0.1,0.0,0.0,0.0,1.0,0.9452047960387361,0.03864221236939715,0.0,0.062413272215931556,20.0
support_d04,detectable,optdigits,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9963992898334313,0.0022462033059983,0.0,0.015652073367452002,20.0
support_d04,detectable,satimage,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9839913656029199,0.00861633487796,0.0,0.016183417253793797,20.0
support_d04,detectable,pendigits,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.9809683768394835,0.02109516058213725,0.0,0.022058501067874152,20.0
support_d04,detectable,letter,0.85,1.0,0.0,0.0,0.0,0.0,1.0,0.8858702145248941,0.03908937870970365,1.0,0.1323006868176855,20.0
estimated_insample,partial,optdigits,1.0,0.0,0.2,0.0,0.0,0.0,1.0,1.2632185458379062,0.00492240451979255,0.0,0.0050788662964821995,20.0
estimated_insample,partial,satimage,1.0,0.5,0.05,0.0,0.0,0.0,1.0,1.27756792326639,0.02146708235128085,0.0,0.00714143132397395,20.0
estimated_insample,partial,pendigits,1.0,0.0,0.05,0.0,0.0,0.0,1.0,1.3604988907946292,0.0329997315526538,0.0,0.011719612794811301,20.0
estimated_insample,partial,letter,1.0,0.0,0.05,1.0,0.0,0.0,1.0,1.7175709619197235,0.0869680338139228,1.0,0.22366778518750885,20.0
