n,beta_log,knob_value,winner,winner_mse,winner_mse_se,runner_up,runner_mse,tie,tie_partners,gate_majority,n_trust,n_distrust,n_ab_fallback
500,-1.0,500x-1,dros,0.00042863053120792004,9.201692961232608e-05,dm,0.0005253175948575494,True,dm;switch_dr,trust,30,0,0
500,0.5,500x0.5,dros,0.00037484484984495216,7.203096376462198e-05,dm,0.0005253175948575494,False,,trust,30,0,0
500,1.0,500x1,dros,0.0003310878347491361,6.758022523872531e-05,switch_dr,0.00046597452291631167,True,switch_dr,trust,30,0,0
500,2.0,500x2,dros,0.0003306176386259197,6.331091514834808e-05,dm,0.0005253175948575494,False,,trust,30,0,0
500,4.0,500x4,dros,0.0002766560911246723,5.567618975033466e-05,dm,0.0005253175948575494,False,,trust,30,0,0
500,8.0,500x8,dros,0.00022991304121503255,5.068761925169646e-05,switch_dr,0.00043700216283579284,False,,trust,30,0,0
500,16.0,500x16,dros,0.00017218834161570107,3.4941677402141504e-05,switch_dr,0.0002349909482784535,True,switch_dr,trust,21,9,0
2000,-1.0,2000x-1,switch_dr,0.00023354203107610807,5.744275697998795e-05,snips,0.00025047115168351963,True,snips;dr;dros;ips,trust,30,0,0
2000,0.5,2000x0.5,switch_dr,0.0001393377700860072,3.611754128052469e-05,dr,0.0001743030899960455,True,dr;snips;dros,trust,30,0,0
2000,1.0,2000x1,switch_dr,0.0001512705829223063,4.128651180669811e-05,dr,0.00017106508243098156,True,dr;snips;dros,trust,30,0,0
2000,2.0,2000x2,switch_dr,0.00012264015344647818,3.293416743497104e-05,snips,0.00014035632127440005,True,snips;dr;ips;dros,trust,30,0,0
2000,4.0,2000x4,dros,9.772287216927625e-05,2.225548417683703e-05,switch_dr,0.00010587014701945184,True,switch_dr;snips;ips,trust,30,0,0
2000,8.0,2000x8,dros,5.714764131772093e-05,1.3896746710249558e-05,switch_dr,7.545050334547311e-05,True,switch_dr,trust,30,0,0
2000,16.0,2000x16,switch_dr,6.325860503007163e-05,1.3471869500881682e-05,dros,6.474360250771741e-05,True,dros,distrust,6,21,3
8000,-1.0,8000x-1,dr,0.00011538411310775235,2.7130835918555563e-05,switch_dr,0.00011784585701958482,True,switch_dr;snips,trust,30,0,0
8000,0.5,8000x0.5,dr,4.7428194150636825e-05,1.0905799775188355e-05,snips,5.685612822223435e-05,True,snips;switch_dr,trust,30,0,0
8000,1.0,8000x1,dr,4.7638797206615257e-05,1.0970981011631687e-05,switch_dr,5.7448530859957545e-05,True,switch_dr;snips,trust,30,0,0
8000,2.0,8000x2,switch_dr,4.837189418042808e-05,1.6695714349940686e-05,dr,4.929179823952985e-05,True,dr;snips,trust,30,0,0
8000,4.0,8000x4,dr,4.316674802207611e-05,1.1994941779577711e-05,switch_dr,4.427473201542655e-05,True,switch_dr;ips;dros;snips,trust,30,0,0
8000,8.0,8000x8,dros,2.343264422444093e-05,6.810821838416093e-06,switch_dr,3.6682289788716975e-05,True,switch_dr,trust,30,0,0
8000,16.0,8000x16,switch_dr,1.7409732162189718e-05,4.55526998871711e-06,dros,4.20476007650869e-05,False,,distrust,2,19,9
32000,-1.0,32000x-1,dr,1.4103484997782255e-05,3.308633880427133e-06,snips,1.4734895057575413e-05,True,snips,trust,30,0,0
32000,0.5,32000x0.5,dr,8.079170487679008e-06,1.6215590102108314e-06,snips,8.493343461860532e-06,True,snips,trust,30,0,0
32000,1.0,32000x1,dr,7.68834717938925e-06,1.7357360593066045e-06,snips,8.912927448123138e-06,True,snips,trust,30,0,0
32000,2.0,32000x2,dr,5.660396785533351e-06,1.2636602594202935e-06,snips,5.957832597464564e-06,True,snips;ips,trust,30,0,0
32000,4.0,32000x4,dr,6.085595058471745e-06,1.2529680207125363e-06,ips,6.559141121964929e-06,True,ips;snips,trust,30,0,0
32000,8.0,32000x8,dros,9.611282636339988e-06,1.284223245501689e-06,switch_dr,1.2250866699902017e-05,False,,trust,30,0,0
32000,16.0,32000x16,switch_dr,5.2597823343359355e-06,8.500380597401421e-07,dros,3.3527332842692345e-05,False,,distrust,0,19,11
